client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
5f78aa205ff17acfd828bff16bd53f698c205abe844197c00a64c77b84d376c26050218584f57d006f037cab0b6b4d0d99c11bac7885515dffe693edc5e30643	common_voice_tr_42960632.mp3	079d390cf3acb770c3d458c457b63632d7d9f0dcc183d963d09245ec12509521	Genelde gettolaşmış cadde ve sokaklarda yaşamaktadırlar.		2	0					tr	
711291e1d0f251a163330ae242bc4ba959a65342b3fcbfaec5b1b281fe5a724e1d8b401b012cf8006d2ddd2c6c029f3002155bfd8403a857a978fb0dea298737	common_voice_tr_42821417.mp3	07d36bd573e7ccb4f771d884e01e3a12b6d4b5728a1a27d09f5b19508684fa17	Cumhuriyetin ilanından sonra köye Tuğlacık adı verilmiştir.		2	0					tr	
174233d62d2b13a95516eed1f217f351285ce5297b3ebeb525cb3906c3396fa8b1d45d16c05ef2b36b17025b9325d4f5b055e75c58e1e22f7ec4fca91ad759c1	common_voice_tr_42705680.mp3	07b448dd0bc62d3d8903c81a65f610fbd77fef55397a68355b0a1bd7b4b5b756	Daha sonra itfaiye şefliğini ve belediye başkanlığını yaptı.		2	0					tr	
174233d62d2b13a95516eed1f217f351285ce5297b3ebeb525cb3906c3396fa8b1d45d16c05ef2b36b17025b9325d4f5b055e75c58e1e22f7ec4fca91ad759c1	common_voice_tr_42705683.mp3	078411d6584cc7e3e3b55358798f6af07ef8d9cc5385838cf05f8594f60ab05f	Bu malzemeler daha sonra dünya pazarında satılacak mallara dönüştürülmek üzere başka yerlere gider.		2	0					tr	
314915e62498f570e54809c7a3aa453e0982248602600973ca1372869c3a9dbccee25d1fb8bc497b85f1d52705f2767e7dccd8bfc0ec92a1f7e2cae532d9df49	common_voice_tr_43033030.mp3	07b90204e30f84b16b9e8d60fd262ec047829955f3bdc1c08f5abe8439b828a1	Bazı cemaatlerde ise hiç okunmaz.		2	0	twenties				tr	
314915e62498f570e54809c7a3aa453e0982248602600973ca1372869c3a9dbccee25d1fb8bc497b85f1d52705f2767e7dccd8bfc0ec92a1f7e2cae532d9df49	common_voice_tr_43033031.mp3	07e6dac393b17d87b8846c23bda10e6ec1f92308b98da919d72d73dc46c4b636	Komşu Hong Kong ve Makao bu ekonomik bölgenin parçası değildir.		2	0	twenties				tr	
3f98a6ba3bef849a4ffda9e84f08024c2d9a1ac0a0e741c88a152530fdebd328d946bb1ff697445afbbb7036ab3a185abc0526880a03305e5c4c7781d3bdf752	common_voice_tr_42857210.mp3	07c28af8f3d324ef3cd119ed556aecbb24bba5b9cf94d904f958edad264d5afc	Tedavi günlük olarak tiroksin alımı ile yapılır.		2	0					tr	
3f98a6ba3bef849a4ffda9e84f08024c2d9a1ac0a0e741c88a152530fdebd328d946bb1ff697445afbbb7036ab3a185abc0526880a03305e5c4c7781d3bdf752	common_voice_tr_42857211.mp3	07ce16ea96d6a2616d274909b2e7fc6b4433db723def7af14a1216afaf13ebf0	Genel Meclis toplantısını organize etme sorumluluğu yönetim kuruluna aittir.		2	0					tr	
5bbc5e08140ad2cfaed64637b2d548f3f6b3d7873a9d0795e9a9d56c3881611184a4a45538bc79724ed32d1c2463bd02d516597e865b92af640fdfbaf78fcf0d	common_voice_tr_43237394.mp3	07513eaa6ce313c83ea86a19e8c6e4691ff32bfd2a5789c0a8742da043255114	Güneydoğu Anadolu Bölgesinin en dağlık yörelerinden birisi de Mardin ilidir.		2	1					tr	
5bbc5e08140ad2cfaed64637b2d548f3f6b3d7873a9d0795e9a9d56c3881611184a4a45538bc79724ed32d1c2463bd02d516597e865b92af640fdfbaf78fcf0d	common_voice_tr_43237395.mp3	07abbb0874387efb3af127a0178191a6b9a0b59f547a09bb69a4242c52182f53	En çok yapıldığı yer Kuzey Amerika ülkeleri olmuştur.		2	1					tr	
11cac61817e0a2baed2a7649fb3d34945ac78fb07a345ee1c31e9766857eb536004348846081343b8ef13dcac753711e19c10a623442de837a5420ece36e060f	common_voice_tr_42800679.mp3	078c2ab6553df2af78f729a4f85c1e16446afad5c54dfe43eba55a0fa99679a2	Sorumlu memur saldırıdan dolayı yargılandı.		2	0					tr	
11cac61817e0a2baed2a7649fb3d34945ac78fb07a345ee1c31e9766857eb536004348846081343b8ef13dcac753711e19c10a623442de837a5420ece36e060f	common_voice_tr_42800680.mp3	06cbb7a43ac1929e04866fa533d78432fa2aa7a4933d26d1be0d04e44706ade2	İlk ve orta öğrenimini Erfelek'de tamamlamasının ardından Dokuz Eylül Üniversitesi Denizli Yüksek Okulundan mezun oldu.		2	0					tr	
11cac61817e0a2baed2a7649fb3d34945ac78fb07a345ee1c31e9766857eb536004348846081343b8ef13dcac753711e19c10a623442de837a5420ece36e060f	common_voice_tr_42800681.mp3	076c6921729af13cc3d239b45111003d4dcf509c1cff3db9a8ece43914a40bc6	Yeni Sabah ve Vatan gazetelerinde yazı işleri müdürlüğünü yürüttü.		2	0					tr	
890632cecba688929fbfa1b72517e3cd0bce645773f3d4f247b479144784a8aba2c01e7466c1bd2682e4bd4e7d7c7d2617db48f23a8803f918e9cf745a814df9	common_voice_tr_42858880.mp3	075cb316a6c30fa4e2cfa49fa3aba6047e7162d4e74cf79d796d9cff194d5dc8	Şişe pullarından başlayarak viskozite kurutma derecesine göre ayarlanabilir.		2	1					tr	
890632cecba688929fbfa1b72517e3cd0bce645773f3d4f247b479144784a8aba2c01e7466c1bd2682e4bd4e7d7c7d2617db48f23a8803f918e9cf745a814df9	common_voice_tr_42858882.mp3	07c6e82c648c861740808e39d55687d061d38a1c34f8ecdb0c7dfb52573ea6f2	Minibüsün motoru çalışmıyordur.		2	1					tr	
890632cecba688929fbfa1b72517e3cd0bce645773f3d4f247b479144784a8aba2c01e7466c1bd2682e4bd4e7d7c7d2617db48f23a8803f918e9cf745a814df9	common_voice_tr_42858883.mp3	07c71b21702c79f023917bcd8443c7096617fb03d8452884dc3cc3847f5efa48	Şu anda koç olarak çalışmaktadır.		2	1					tr	
